Temperature,Rainfall,Humidity,Soil_Type,Crop
22,180,78,Loamy,Rice
24,220,82,Clay,Rice
26,190,76,Loamy,Rice
23,250,88,Clay,Rice
25,205,80,Alluvial,Rice
20,160,74,Loamy,Wheat
18,120,65,Alluvial,Wheat
21,145,68,Clay,Wheat
23,135,62,Loamy,Wheat
19,180,70,Alluvial,Wheat
27,90,55,Sandy,Maize
30,110,58,Loamy,Maize
25,75,52,Alluvial,Maize
28,130,61,Clay,Maize
31,100,54,Sandy,Maize
24,95,68,Loamy,Cotton
27,80,64,Black,Cotton
29,105,70,Black,Cotton
26,120,73,Loamy,Cotton
31,70,60,Black,Cotton
30,140,72,Loamy,Sugarcane
28,180,78,Clay,Sugarcane
32,160,75,Alluvial,Sugarcane
29,210,82,Loamy,Sugarcane
27,130,69,Alluvial,Sugarcane
23,60,48,Sandy,Chickpea
21,75,52,Black,Chickpea
25,55,45,Loamy,Chickpea
19,65,50,Black,Chickpea
26,85,54,Sandy,Chickpea
28,40,42,Sandy,Millet
32,55,45,Sandy,Millet
30,70,49,Loamy,Millet
27,35,40,Black,Millet
34,60,43,Sandy,Millet
29,100,66,Loamy,Tomato
26,130,72,Alluvial,Tomato
31,85,61,Loamy,Tomato
24,115,68,Clay,Tomato
33,75,58,Sandy,Tomato
